 Hd_Act,Hd_pred,Contour
6.0,6.0,1160.0
6.0,4.0,1180.0
6.0,6.0,1200.0
7.0,5.0,1220.0
8.0,8.0,1240.0
8.0,7.0,1260.0
18.0,20.0,1280.0
20.0,17.0,1300.0
6.0,7.0,1320.0
8.0,5.0,1340.0
19.0,19.0,1360.0
12.0,15.0,1380.0
5.0,4.0,1400.0
7.0,4.0,1420.0
6.0,4.0,1440.0
10.0,10.0,1460.0
5.0,5.0,1520.0
11.0,9.0,1540.0
12.0,13.0,1560.0
10.0,4.0,1580.0
8.0,4.0,1600.0
6.0,4.0,1620.0
10.0,8.0,1640.0
8.0,9.0,1660.0
10.0,7.0,1680.0
10.0,10.0,1700.0
7.0,9.0,1720.0
14.0,14.0,1740.0
12.0,4.0,1760.0
4.0,5.0,1780.0
3.0,2.0,1800.0
2.0,2.0,1820.0
2.0,2.0,1840.0
2.0,2.0,1860.0
2.0,1.0,1880.0
2.0,2.0,1900.0
